phase,fold,epoch,train_loss,val_loss,accuracy,learning_rate
3,5,1,2.2722281259203716,2.520974636077881,0.932699778853625,0.0001
3,5,2,4.534827485160222,2.536508083343506,0.8855432316970779,0.0001
3,5,3,6.794477539970761,2.535041093826294,0.8970080196324539,0.0001
3,5,4,9.045610753316728,2.5191495418548584,0.9322113783652245,0.0001
3,5,5,11.297298043114798,2.5303823947906494,0.9257964257964258,0.0001
3,5,6,13.54512419776311,2.5193026065826416,0.9503481268187149,0.0001
3,5,7,15.792374192343818,2.528217315673828,0.9405061169767052,0.0001
3,5,8,18.03486565786695,2.5157995223999023,0.9517726282432164,1e-05
3,5,9,20.280884647369383,2.5239789485931396,0.938233199262611,1e-05
3,5,10,22.524668854758854,2.524674654006958,0.9439797675091793,1e-05
