phase,fold,epoch,train_loss,val_loss,accuracy,learning_rate
5,5,1,2.678288991433125,3.058243672053019,0.8957926224455762,0.0001
5,5,2,5.34553597443001,3.029322306315104,0.9082758818962113,0.0001
5,5,3,8.012307720676077,3.039256970087687,0.8961795514427093,0.0001
5,5,4,10.675424620950011,3.029604355494181,0.9339840148871492,0.0001
5,5,5,13.337499589105834,3.0546627839406333,0.8999300498796872,0.0001
5,5,6,15.998154634957785,3.0553670724232993,0.9113642300016828,0.0001
5,5,7,18.65902075058106,3.05386749903361,0.9047405006155376,0.0001
5,5,8,21.316165127597014,3.0446751912434897,0.923927298741222,1e-05
5,5,9,23.97550551345161,3.044434388478597,0.9235710522354359,1e-05
5,5,10,26.63606411848447,3.0334553718566895,0.9236519244476538,1e-05
5,5,11,29.29591005551845,3.0556540489196777,0.9176770297714781,1e-05
5,5,12,31.95469696483467,3.0379926363627114,0.9378268933144034,1e-05
5,5,13,34.613442458646944,3.045825481414795,0.9257076463150724,1e-05
5,5,14,37.271341221874685,3.041482925415039,0.9136378752414207,1e-05
5,5,15,39.928938683068864,3.042550484339396,0.9141574075874727,1.0000000000000002e-06
5,5,16,42.587916955036924,3.0482956568400064,0.9308082068536289,1.0000000000000002e-06
5,5,17,45.24483106142368,3.0400400956471763,0.9297024043196483,1.0000000000000002e-06
5,5,18,47.90390628107705,3.0413777828216553,0.9238763944444845,1.0000000000000002e-06
5,5,19,50.561980115692194,3.0463638305664062,0.908206017326421,1.0000000000000002e-06
5,5,20,53.224508860709804,3.034703493118286,0.9352063633087001,1.0000000000000002e-06
