phase,fold,epoch,train_loss,val_loss,accuracy,learning_rate
2,5,1,1.9525737421853202,2.171013355255127,0.9365263892118113,0.0001
2,5,2,3.8843428884233746,2.1656076908111572,0.9576067581182671,0.0001
2,5,3,5.814704581669399,2.1574108600616455,0.9576067581182671,0.0001
2,5,4,7.747551931653704,2.160254716873169,0.9450463716448371,0.0001
2,5,5,9.667256924084255,2.190972089767456,0.9065447900688175,0.0001
2,5,6,11.580029480797904,2.1533095836639404,0.9404709622100925,0.0001
2,5,7,13.485802507400512,2.160885810852051,0.9047044404023808,0.0001
2,5,8,15.39519556249891,2.156395673751831,0.9337972343087432,1e-05
2,5,9,17.302327374049597,2.1443614959716797,0.9728004684526422,1e-05
2,5,10,19.209164834022523,2.1536922454833984,0.9595959595959597,1e-05
2,5,11,21.11383227280208,2.1486973762512207,0.9646569211786603,1e-05
2,5,12,23.01732118810926,2.153287887573242,0.916839199447895,1e-05
2,5,13,24.91906269618443,2.1446475982666016,0.9380972820870518,1e-05
2,5,14,26.82279145717621,2.150567054748535,0.9380555032728946,1e-05
2,5,15,28.7262152331216,2.158951997756958,0.9521412226217717,1.0000000000000002e-06
2,5,16,30.629377947534834,2.155282735824585,0.943069135288815,1.0000000000000002e-06
2,5,17,32.53179816859109,2.1453609466552734,0.9337972343087432,1.0000000000000002e-06
2,5,18,34.436798095703125,2.145468235015869,0.9356114426446906,1.0000000000000002e-06
2,5,19,36.34153326238905,2.1560378074645996,0.91623026022003,1.0000000000000002e-06
2,5,20,38.24553026131221,2.144568681716919,0.9193044806855548,1.0000000000000002e-06
