phase,fold,epoch,train_loss,val_loss,accuracy,learning_rate
4,5,1,2.4941802038311285,2.7811784744262695,0.8541106249662399,0.0001
4,5,2,4.986518870639262,2.8012938499450684,0.8124439582995732,0.0001
4,5,3,7.465439531089222,2.7961578369140625,0.8400367309458219,0.0001
4,5,4,9.943453829167252,2.801199197769165,0.8396219886026035,0.0001
4,5,5,12.419522479429084,2.813961982727051,0.8687570896127046,0.0001
4,5,6,14.891318371066939,2.7887847423553467,0.9030789175174202,0.0001
4,5,7,17.372106079327857,2.7866196632385254,0.9018162912547939,0.0001
4,5,8,19.842303065930384,2.7866716384887695,0.8697010209042294,1e-05
4,5,9,22.313213833307817,2.7919256687164307,0.8885215794306702,1e-05
4,5,10,24.792278538989482,2.812657356262207,0.8467873926430074,1e-05
4,5,11,27.272137461409056,2.7864580154418945,0.9082070707070706,1e-05
4,5,12,29.745676537691537,2.7902755737304688,0.8814943838840896,1e-05
4,5,13,32.21901768614343,2.7689664363861084,0.9008507535245504,1e-05
4,5,14,34.69610130180747,2.792992115020752,0.8766083292821261,1e-05
4,5,15,37.16623975058734,2.793609857559204,0.9031817558555525,1.0000000000000002e-06
4,5,16,39.640132248064894,2.780829906463623,0.9023659050397018,1.0000000000000002e-06
4,5,17,42.115581493593204,2.775886297225952,0.9031234807972776,1.0000000000000002e-06
4,5,18,44.586742945310085,2.7867019176483154,0.9071638848376815,1.0000000000000002e-06
4,5,19,47.06013990930245,2.7762603759765625,0.905116096025187,1.0000000000000002e-06
4,5,20,49.530875662625846,2.7904584407806396,0.8954214605952573,1.0000000000000002e-06
